Sample ID,pi estimate,consensus (1-rho)/(rho*psi),TmS
TCGA-J1-A4AH,0.727,0.576,3.072
TCGA-L3-A4E7,0.53,0.656,1.48
TCGA-L3-A524,0.837,0.203,2.081
TCGA-LA-A446,0.815,0.43,3.784
TCGA-LA-A7SW,0.866,0.425,5.471
TCGA-NC-A5HD,0.875,0.239,3.335
TCGA-NC-A5HE,0.709,1.158,5.65
TCGA-NC-A5HF,0.801,0.191,1.538
TCGA-NC-A5HH,0.874,0.163,2.264
TCGA-NC-A5HI,0.89,0.408,6.586
TCGA-NC-A5HJ,0.462,1.574,2.708
TCGA-NC-A5HK,0.873,0.376,5.166
TCGA-NC-A5HL,0.828,0.399,3.836
TCGA-NC-A5HM,0.839,0.292,3.048
TCGA-NC-A5HN,0.89,0.078,1.272
TCGA-NC-A5HO,0.874,0.404,5.592
TCGA-NC-A5HP,0.745,0.266,1.552
TCGA-NC-A5HQ,0.759,0.351,2.209
TCGA-NC-A5HR,0.887,0.306,4.795
TCGA-NC-A5HT,0.852,0.211,2.439
TCGA-NK-A5CR,0.858,0.195,2.353
TCGA-NK-A5CT,0.816,0.606,5.363
TCGA-NK-A5CX,0.471,0.382,0.68
TCGA-NK-A7XE,0.874,0.575,7.951
TCGA-O2-A52N,0.765,0.354,2.298
TCGA-O2-A52Q,0.715,0.342,1.719
TCGA-O2-A52S,0.889,0.261,4.167
TCGA-O2-A52V,0.687,0.936,4.1
TCGA-O2-A52W,0.837,0.546,5.6
TCGA-O2-A5IB,0.886,0.073,1.141
TCGA-XC-AA0X,0.457,1.199,2.017
